GRTOTLT,GRBKAAT,GRHISPT
99,3,61
171,6,105
970,31,259
970,31,259
176,0,29
11,0,2
165,0,27
123,0,37
24,,
8,,
16,,
256,0,65
415,31,128
196,5,96
196,5,96
146,3,69
146,3,69
119,,
119,,
50,2,27
1143,15,338
1143,15,338
400,6,93
30,1,9
370,5,84
162,3,55
124,,
26,,
98,,
200,1,59
381,5,131
1257,79,435
1257,79,435
272,11,73
4,0,2
268,11,71
206,13,78
47,,
1,,
46,,
269,15,102
510,40,182
760,25,602
760,25,602
194,5,153
3,0,2
191,5,151
78,9,46
56,,
2,,
54,,
174,4,156
314,7,247
202,4,14
182,2,12
6,0,0
202,4,14
202,4,14
182,2,12
182,2,12
171,2,11
7,0,1
4,0,0
6,0,0
14,2,2
14,2,2
110,17,16
110,17,16
38,5,9
38,5,9
7,1,1
27,,
27,,
3,1,0
62,10,6
213,7,29
213,7,29
75,2,12
75,2,12
3,0,1
47,,
47,,
6,0,2
129,5,14
95,8,28
95,8,28
52,3,16
52,3,16
4,1,1
49,,
49,,
2,0,1
37,4,10
59,13,16
59,13,16
25,2,7
4,0,3
21,2,4
5,2,0
22,,
3,,
19,,
2,1,0
27,8,9
170,14,59
170,14,59
60,4,26
60,4,26
11,2,2
54,,
54,,
7,0,4
92,8,27
109,19,27
54,14,13
6,0,1
109,19,27
109,19,27
54,14,13
54,14,13
30,10,9
18,3,3
6,1,1
6,0,1
25,4,9
24,1,4
25,4,9
24,1,4
1168,50,153
512,16,64
57,3,5
1168,50,153
1168,50,153
512,16,64
512,16,64
147,5,11
252,7,32
113,4,21
57,3,5
51,5,9
548,26,75
51,5,9
75,,
548,26,75
71,17,23
48,13,19
7,0,2
31,7,11
31,7,11
28,7,10
4,2,0
24,5,10
19,4,7
4,0,3
1,1,0
42,10,13
2,0,1
40,10,12
20,6,9
20,6,9
7,0,2
2,0,1
16,4,2
3,0,1
13,4,1
783,3,708
783,3,708
195,1,179
6,0,6
189,1,173
48,0,44
42,,
6,,
36,,
540,2,485
1106,20,294
1106,20,294
435,3,76
26,1,5
409,2,71
172,3,64
189,,
21,,
168,,
173,5,67
326,9,87
151,16,58
47,1,20
1,0,0
1,0,0
155,18,60
5,2,2
150,16,58
47,1,20
47,1,20
5,2,2
4,0,1
100,15,37
1,0,0
4,0,1
99,15,37
109,2,77
44,1,28
6,0,6
6,0,6
2,0,2
2,0,2
2,0,2
109,2,72
6,0,1
103,2,71
42,1,26
42,1,26
6,0,1
1,0,1
64,1,48
4,0,4
1,0,1
60,1,44
123,3,76
66,2,37
129,4,79
6,1,3
123,3,76
66,2,37
66,2,37
6,1,3
1,0,1
56,1,38
1,0,1
56,1,38
103,8,26
103,8,26
76,5,20
76,5,20
5,,
5,,
27,3,6
11,0,1
6,0,0
11,0,1
11,0,1
6,0,0
6,0,0
3,0,0
2,0,0
1,0,0
5,0,1
5,0,1
1584,62,916
1584,62,916
389,5,186
46,0,36
343,5,150
149,14,71
158,,
41,,
117,,
274,6,172
772,37,487
51,0,12
24,0,6
46,0,12
46,0,12
22,0,6
4,0,1
18,0,5
7,0,3
7,0,1
4,0,1
5,0,0
5,0,0
2,0,0
1,0,0
1,0,0
1,0,1
26,0,5
1,0,1
23,0,5
3,0,0
279,9,88
137,4,45
14,0,2
183,9,51
2,1,0
1,0,0
181,8,51
98,4,30
7,1,3
91,3,27
85,3,22
6,0,5
10,0,2
99,1,37
1,0,0
98,1,37
39,0,15
36,0,13
3,0,2
4,0,0
3,1,0
3,0,2
125,5,39
1,0,0
72,4,19
2,0,2
53,1,20
297,24,120
174,9,80
299,25,120
2,1,0
297,24,120
174,9,80
174,9,80
121,5,60
48,4,18
5,0,2
2,1,0
4,1,3
119,14,37
4,1,3
119,14,37
58,0,9
26,0,2
58,0,9
58,0,9
26,0,2
26,0,2
15,0,1
11,0,1
11,,
31,0,7
1,0,0
31,0,7
157,3,45
157,3,45
49,0,12
1,0,0
48,0,12
22,0,6
29,,
1,,
28,,
21,1,9
65,2,18
300,89,45
300,89,45
71,14,9
9,0,3
62,14,6
26,6,9
26,,
6,,
20,,
53,13,8
150,56,19
153,7,24
153,7,24
24,1,4
1,0,0
23,1,4
36,5,5
12,,
1,,
11,,
7,0,1
86,1,14
9,2,0
5,1,0
2,0,0
6,1,0
6,1,0
3,1,0
3,1,0
2,1,0
1,0,0
2,0,0
3,1,0
3,1,0
2,0,0
2,0,0
2,1,0
1,0,0
1,1,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
302,24,81
150,7,40
86,12,21
221,20,59
221,20,59
126,7,36
4,0,1
11,2,1
111,5,34
53,1,13
44,2,15
14,2,6
60,9,12
81,4,22
81,4,22
24,0,4
13,0,1
11,0,3
26,3,9
12,2,5
54,3,15
9,2,3
26,2,8
3,0,2
28,1,7
1684,163,944
1684,163,944
396,19,207
98,9,59
298,10,148
206,27,103
164,,
108,,
56,,
424,33,272
658,84,362
582,73,331
582,73,331
129,9,69
8,0,7
121,9,62
56,15,22
37,,
8,,
29,,
141,12,96
256,37,144
839,51,352
839,51,352
234,14,76
12,0,6
222,14,70
68,4,21
68,,
12,,
56,,
203,8,100
334,25,155
147,89,43
147,89,43
22,11,10
1,1,0
21,10,10
18,13,3
4,,
4,,
23,10,8
84,55,22
478,139,238
478,139,238
102,22,59
77,19,43
25,3,16
40,9,22
64,,
59,,
5,,
69,20,38
267,88,119
734,51,307
734,51,307
155,6,52
18,0,6
137,6,46
66,,
2,,
67,8,33
44,,
8,,
36,,
192,5,82
320,32,140
189,3,15
118,3,6
189,3,15
189,3,15
118,3,6
118,3,6
101,3,5
11,0,1
6,0,0
71,0,9
71,0,9
692,64,257
692,64,257
117,5,29
26,3,7
91,2,22
56,10,23
32,,
14,,
18,,
153,9,79
366,40,126
438,7,336
438,7,336
70,0,47
4,0,3
66,0,44
30,1,21
12,,
1,,
11,,
121,0,100
217,6,168
528,56,194
528,56,194
166,8,65
9,0,3
157,8,62
55,7,12
46,,
14,,
32,,
96,15,41
64,,
211,26,76
174,6,25
64,1,17
8,0,0
170,6,24
1,0,0
169,6,24
63,1,16
3,0,1
60,1,15
36,1,7
20,0,5
4,0,3
7,0,0
5,0,1
5,0,1
1,0,1
1,0,1
1,0,0
1,0,0
3,0,2
99,5,6
3,0,2
96,5,6
3,0,0
1259,71,284
979,52,224
1261,71,284
2,0,0
1259,71,284
979,52,224
979,52,224
867,44,189
99,7,33
13,1,2
2,0,0
11,1,3
269,18,57
11,1,3
269,18,57
436,46,85
436,46,85
291,23,57
287,23,57
11,,
4,0,0
144,,
140,,
4,,
145,23,28
301,72,105
301,72,105
151,34,55
143,33,52
8,1,3
119,,
111,,
8,,
1,0,0
149,38,50
402,58,137
1,0,1
401,58,136
168,19,57
157,18,53
11,1,4
141,,
133,,
8,,
22,0,7
211,39,72
562,38,248
2,0,0
560,38,248
214,14,82
204,14,78
10,0,4
188,,
180,,
8,,
6,1,2
340,23,164
271,15,51
271,15,51
63,1,9
5,0,1
58,1,8
45,3,6
30,,
2,,
28,,
51,1,15
112,10,21
277,15,63
102,5,25
105,2,22
1,,
277,15,63
277,15,63
102,5,25
78,5,19
24,0,6
105,2,22
2,0,1
68,8,15
2,0,1
68,8,15
211,15,56
211,15,56
39,0,12
39,0,12
19,1,8
39,,
39,,
94,3,27
59,11,9
157,5,24
68,3,13
41,0,3
158,5,24
1,0,0
157,5,24
68,3,13
68,3,13
56,1,10
12,2,3
41,0,3
1,0,0
48,2,8
48,2,8
1045,34,551
1045,34,551
200,6,100
1,0,0
199,6,100
110,7,39
47,,
47,,
266,4,161
469,17,251
152,60,63
152,60,63
16,4,7
1,0,1
15,4,6
18,9,5
4,,
4,,
24,7,14
94,40,37
202,18,32
145,12,26
188,17,25
188,17,25
137,12,22
8,0,4
129,12,18
112,9,17
13,3,0
4,0,1
14,1,7
14,1,7
8,0,4
7,0,4
1,0,0
3,1,0
54,5,6
3,1,0
48,4,3
6,1,3
1102,37,345
1102,37,345
350,10,98
34,2,13
316,8,85
176,6,35
145,,
26,,
119,,
175,5,64
401,16,148
413,14,99
413,14,99
103,0,25
2,0,0
101,0,25
71,2,21
30,,
2,,
28,,
2,,
84,5,16
155,7,37
484,22,276
484,22,276
322,12,181
322,12,181
190,,
190,,
23,2,8
139,8,87
1196,34,528
1196,34,528
227,3,91
14,0,3
213,3,88
134,7,61
58,,
9,,
49,,
338,5,149
497,19,227
461,27,196
461,27,196
133,3,47
3,0,0
130,3,47
74,9,27
55,,
3,,
52,,
88,3,53
166,12,69
1622,22,420
1622,22,420
587,1,128
32,0,5
555,1,123
212,3,36
214,,
34,,
180,,
288,3,103
535,15,153
2068,83,1192
2068,83,1192
642,22,294
26,0,17
1,0,1
616,22,277
212,20,99
194,,
11,,
183,,
543,12,368
671,29,431
313,17,171
205,12,115
80,5,41
169,5,76
169,5,76
112,2,53
112,2,53
84,2,43
27,0,10
1,0,0
41,3,17
144,12,95
144,12,95
93,10,62
11,2,8
82,8,54
39,2,24
28,0,15
16,0,6
12,0,9
681,59,266
681,59,266
162,10,66
5,1,2
157,9,64
109,16,33
48,,
7,,
41,,
410,33,167
35,1,2
1,0,0
34,1,2
23,1,2
23,1,2
1,0,0
23,,
23,,
10,0,0
633,38,95
304,10,42
64,0,2
14,0,2
14,0,2
8,0,2
8,0,2
7,0,2
1,0,0
