STABBR,LOCALE,RMINSTTP,EFUGFT,GRBKAAT,BOARD,RELAFFIL,ROOM,PGRNT_N,GRTOTLT,ICLEVEL,PCTENRW,WEBADDR,INSTNM,GRHISPT,HBCU,DVADM01,ALLONCAM,EFWHITT,UNITID,EFHISPT,FGRNT_N,CITY,INSTSIZE,ADDR,RMOUSTTN,EFBKAAT
AL,City: Midsize,64,3930,86,1,-2,1,857,86,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,1,100654,0,857,Normal,3,4900 Meridian Street,369,1
AL,City: Midsize,64,3930,86,1,-2,1,857,86,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,0,100654,0,857,Normal,3,4900 Meridian Street,369,12
AL,City: Midsize,64,3930,86,1,-2,1,857,86,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,7,100654,0,857,Normal,3,4900 Meridian Street,369,12
AL,City: Midsize,64,3930,86,1,-2,1,857,86,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,22,100654,0,857,Normal,3,4900 Meridian Street,369,127
AL,City: Midsize,64,3930,86,1,-2,1,857,86,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,29,100654,0,857,Normal,3,4900 Meridian Street,369,139
AL,City: Midsize,64,3930,86,1,-2,1,857,86,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,7,100654,2,857,Normal,3,4900 Meridian Street,369,225
AL,City: Midsize,64,3930,86,1,-2,1,857,86,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,14,100654,2,857,Normal,3,4900 Meridian Street,369,237
AL,City: Midsize,64,3930,86,1,-2,1,857,86,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,14,100654,2,857,Normal,3,4900 Meridian Street,369,249
AL,City: Midsize,64,3930,86,1,-2,1,857,86,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,15,100654,2,857,Normal,3,4900 Meridian Street,369,250
AL,City: Midsize,64,3930,86,1,-2,1,857,86,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,55,100654,2,857,Normal,3,4900 Meridian Street,369,301
AL,City: Midsize,64,3930,86,1,-2,1,857,86,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,70,100654,4,857,Normal,3,4900 Meridian Street,369,551
AL,City: Midsize,64,3930,86,1,-2,1,857,86,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,90,100654,7,857,Normal,3,4900 Meridian Street,369,602
AL,City: Midsize,64,3930,86,1,-2,1,857,86,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,145,100654,9,857,Normal,3,4900 Meridian Street,369,903
AL,City: Midsize,64,3930,86,1,-2,1,857,86,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,30,100654,3,857,Normal,3,4900 Meridian Street,369,1128
AL,City: Midsize,64,3930,86,1,-2,1,857,86,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,30,100654,3,857,Normal,3,4900 Meridian Street,369,1140
AL,City: Midsize,64,3930,86,1,-2,1,857,86,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,74,100654,18,857,Normal,3,4900 Meridian Street,369,2430
AL,City: Midsize,64,3930,86,1,-2,1,857,86,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,96,100654,18,857,Normal,3,4900 Meridian Street,369,2557
AL,City: Midsize,64,3930,86,1,-2,1,857,86,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,81,100654,20,857,Normal,3,4900 Meridian Street,369,2655
AL,City: Midsize,64,3930,86,1,-2,1,857,86,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,110,100654,20,857,Normal,3,4900 Meridian Street,369,2794
AL,City: Midsize,64,3930,86,1,-2,1,857,86,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,126,100654,21,857,Normal,3,4900 Meridian Street,369,3685
AL,City: Midsize,64,3930,86,1,-2,1,857,86,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,140,100654,23,857,Normal,3,4900 Meridian Street,369,3934
AL,City: Midsize,64,3930,86,1,-2,1,857,86,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,141,100654,23,857,Normal,3,4900 Meridian Street,369,3935
AL,City: Midsize,64,3930,86,1,-2,1,857,86,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,216,100654,28,857,Normal,3,4900 Meridian Street,369,4287
AL,City: Midsize,64,3930,86,1,-2,1,857,86,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,286,100654,32,857,Normal,3,4900 Meridian Street,369,4838
AL,City: Midsize,64,3930,113,1,-2,1,857,115,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,1,100654,0,857,Normal,3,4900 Meridian Street,369,1
AL,City: Midsize,64,3930,113,1,-2,1,857,115,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,0,100654,0,857,Normal,3,4900 Meridian Street,369,12
AL,City: Midsize,64,3930,113,1,-2,1,857,115,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,7,100654,0,857,Normal,3,4900 Meridian Street,369,12
AL,City: Midsize,64,3930,113,1,-2,1,857,115,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,22,100654,0,857,Normal,3,4900 Meridian Street,369,127
AL,City: Midsize,64,3930,113,1,-2,1,857,115,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,29,100654,0,857,Normal,3,4900 Meridian Street,369,139
AL,City: Midsize,64,3930,113,1,-2,1,857,115,1,55,www.aamu.edu/,Alabama A & M University,0,1,53,2,7,100654,2,857,Normal,3,4900 Meridian Street,369,225
